Draw,Entrant,Brand/Status,Order,Eliminated by,Time,Elimination(s)
1,Lacey Evans,Free agent,11,Charlotte Flair,29:20,2
2,Natalya,Raw,23,Nia Jax,56:01,2
3,Mandy Rose,SmackDown,9,Naomi,25:50,1
4,Liv Morgan,Raw,1,Natalya,00:08,0
5,Mickie James,Raw,2,Tamina,11:38,0
6,Ember Moon,Raw,24,Alexa Bliss,52:23,0
7,Billie Kay,SmackDown,4,Lacey Evans,09:25,1
8,Nikki Cross,Free agent,3,Billie Kay;Peyton Royce,09:00,0
9,Peyton Royce,SmackDown,5,Lacey Evans,08:38,1
10,Tamina,Raw,7,Charlotte Flair,08:22,1
11,Xia Li,NXT,6,Charlotte Flair,04:48,0
12,Sarah Logan,Raw,8,Natalya;Kairi Sane,05:38,0
13,Charlotte Flair,SmackDown,29,Becky Lynch,50:01,5
14,Kairi Sane,NXT,15,Ruby Riott,17:00,1
15,Maria Kanellis,205 Live,12,Alicia Fox,08:12,0
16,Naomi,SmackDown,10,Mandy Rose,01:28,1
17,Candice LeRae,NXT,14,Ruby Riott,09:35,0
18,Alicia Fox,Raw,13,Ruby Riott,06:55,1
19,Kacy Catanzaro,NXT,16,Rhea Ripley,10:45,0
20,Zelina Vega,SmackDown,18,Rhea Ripley,11:42,0
21,Ruby Riott,Raw,20,Bayley,13:08,3
22,Dana Brooke,Raw,17,Rhea Ripley,07:17,0
23,Io Shirai,NXT,22,Nia Jax,13:21,0
24,Rhea Ripley,NXT UK,21,Bayley,07:55,3
25,Sonya Deville,SmackDown,19,Alexa Bliss,04:26,0
26,Alexa Bliss,Raw,25,Bayley;Carmella,12:59,2
27,Bayley,Raw,27,Nia Jax;Charlotte Flair,14:27,3
28,Becky Lynch,SmackDown,â€”,Winner,13:20,2
29,Nia Jax,Raw,28,Becky Lynch,11:59,3
30,Carmella,SmackDown,26,Charlotte Flair,07:12,1
